รายชื่อ อาจารย์ผู้รับผิดชอบหลักสูตร,COUNTA of รายชื่อ อาจารย์ผู้รับผิดชอบหลักสูตร
ผศ.ดร.ปรีดา เลิศวัชระสารกุล,1.0
ผศ.น.สพ.ดร.เกรียงไกร วิฑูรย์เสถียร,1.0
ผศ.น.สพ.ดร.ไชยยันต์ เกษรดอกบัว,1.0
ผศ.น.สพ.ดร.ชัยกร ฐิติญาณพร,1.0
ผศ.น.สพ.ดร.พรชัย สัญฐิติเสรี,1.0
ผศ.น.สพ.ดร.วรกิจ เชิดชูธรรม,1.0
ผศ.น.สพ.ดร.อาสูตร สงวนเกียรติ,1.0
ผศ.สพ.ญ.ดร.ไกรสิริ ขีดขั้น,1.0
ผศ.สพ.ญ.ดร.กรรณิการ์ ศิริภัทรประวัติ,1.0
ผศ.สพ.ญ.ดร.กานต์สุดา ลีฬหาพงศธร,1.0
ผศ.สพ.ญ.ดร.ชมพูเนกข์ ยุรญาติ,1.0
ผศ.สพ.ญ.ดร.ประภัสสร บุญสูงเนิน,1.0
ผศ.สพ.ญ.ดร.มนชนก วิจารสรณ์,1.0
ผศ.สพ.ญ.ดร.วราพร พิมพ์ประไพ,1.0
ผศ.สพ.ญ.ดร.สุภาเพ็ญ ศรีพิบูลย์,1.0
ผศ.สพ.ญ.ดร.อุไร พงศ์ชัยฤกษ์,1.0
รศ.ดร.เกษริน ขำยิ่งเกิด,1.0
รศ.ดร.จันทิมา พฤกษากร,1.0
รศ.ดร.ศรัญญา พัวพลเทพ,1.0
รศ.ดร.อำนาจ พัวพลเทพ,1.0
รศ.น.สพ.ดร.เมธา จันดา,1.0
รศ.น.สพ.ดร.กัญจน์ แก้วมงคล,1.0
รศ.น.สพ.ดร.ณัฐสิทธิ์ ตันสกุล,1.0
รศ.น.สพ.ดร.ธีระ รักความสุข,1.0
รศ.น.สพ.ดร.พิษณุ ตุลยกุล,1.0
รศ.น.สพ.ดร.มานะกร สุขมาก,1.0
รศ.น.สพ.ดร.วิน สุรเชษฐพงษ์,1.0
รศ.สพ.ญ.ดร.ทัศนีย์ เจริญทรง,1.0
รศ.สพ.ญ.ดร.ปารียา อุดมกุศลศรี,1.0
รศ.สพ.ญ.ดร.สุนทรี เพ็ชรดี,1.0
รศ.สพ.ญ.ดร.อุสุมา เจิมนาค,1.0
อ.สพ.ญ.ดร.ม.ล.นฤดี เกษมสันต์,1.0
(blank),
Grand Total,32.0
